Maximaler Train Acc: 0.9497 bei Epoch: 9714
Maximaler Test Acc: 0.9308 bei Epoch: 8584

/home/boris.grillborzer/miniconda3/envs/gggten/bin/python /home/boris.grillborzer/PycharmProjects/PoseEstimationFPHAB/modelundmainfun.py 


Epoch: 143, Train Acc: 0.7220, Test Acc: 0.7212
Epoch: 144, Train Acc: 0.7019, Test Acc: 0.7135
Epoch: 145, Train Acc: 0.7157, Test Acc: 0.7212
Epoch: 146, Train Acc: 0.6893, Test Acc: 0.7058
Epoch: 147, Train Acc: 0.7066, Test Acc: 0.7091
Epoch: 148, Train Acc: 0.7212, Test Acc: 0.7289
Epoch: 149, Train Acc: 0.7159, Test Acc: 0.7278
Epoch: 150, Train Acc: 0.6970, Test Acc: 0.7080
Epoch: 151, Train Acc: 0.7107, Test Acc: 0.7113
Epoch: 152, Train Acc: 0.7118, Test Acc: 0.7245
Epoch: 153, Train Acc: 0.7113, Test Acc: 0.7212
Epoch: 154, Train Acc: 0.7080, Test Acc: 0.7179
Epoch: 155, Train Acc: 0.6918, Test Acc: 0.7179
Epoch: 156, Train Acc: 0.7148, Test Acc: 0.7245
Epoch: 157, Train Acc: 0.7049, Test Acc: 0.7069
Epoch: 158, Train Acc: 0.6959, Test Acc: 0.7091
Epoch: 159, Train Acc: 0.7157, Test Acc: 0.7256
Epoch: 160, Train Acc: 0.7132, Test Acc: 0.7168
Epoch: 161, Train Acc: 0.7283, Test Acc: 0.7333
Epoch: 162, Train Acc: 0.7113, Test Acc: 0.7168
Epoch: 163, Train Acc: 0.7190, Test Acc: 0.7245
Epoch: 164, Train Acc: 0.7102, Test Acc: 0.7212
Epoch: 165, Train Acc: 0.7170, Test Acc: 0.7212
Epoch: 166, Train Acc: 0.7190, Test Acc: 0.7267
Epoch: 167, Train Acc: 0.6989, Test Acc: 0.7014
Epoch: 168, Train Acc: 0.7214, Test Acc: 0.7113
Epoch: 169, Train Acc: 0.7261, Test Acc: 0.7311
Epoch: 170, Train Acc: 0.7245, Test Acc: 0.7267
Epoch: 171, Train Acc: 0.7063, Test Acc: 0.7179
Epoch: 172, Train Acc: 0.7261, Test Acc: 0.7124
Epoch: 173, Train Acc: 0.7137, Test Acc: 0.7179
Epoch: 174, Train Acc: 0.7264, Test Acc: 0.7344
Epoch: 175, Train Acc: 0.7225, Test Acc: 0.7190
Epoch: 176, Train Acc: 0.7302, Test Acc: 0.7201
Epoch: 177, Train Acc: 0.7063, Test Acc: 0.7080
Epoch: 178, Train Acc: 0.7247, Test Acc: 0.7322
Epoch: 179, Train Acc: 0.7096, Test Acc: 0.7278
Epoch: 180, Train Acc: 0.7168, Test Acc: 0.7256
Epoch: 181, Train Acc: 0.7096, Test Acc: 0.7135
Epoch: 182, Train Acc: 0.7027, Test Acc: 0.7212
Epoch: 183, Train Acc: 0.7201, Test Acc: 0.7201
Epoch: 184, Train Acc: 0.7190, Test Acc: 0.7179
Epoch: 185, Train Acc: 0.7157, Test Acc: 0.7256
Epoch: 186, Train Acc: 0.7044, Test Acc: 0.7102
Epoch: 187, Train Acc: 0.7349, Test Acc: 0.7267
Epoch: 188, Train Acc: 0.7184, Test Acc: 0.7190
Epoch: 189, Train Acc: 0.7016, Test Acc: 0.7179
Epoch: 190, Train Acc: 0.7146, Test Acc: 0.7146
Epoch: 191, Train Acc: 0.7203, Test Acc: 0.7146
Epoch: 192, Train Acc: 0.7102, Test Acc: 0.7179
Epoch: 193, Train Acc: 0.6821, Test Acc: 0.6981
Epoch: 194, Train Acc: 0.7143, Test Acc: 0.7234
Epoch: 195, Train Acc: 0.7321, Test Acc: 0.7245
Epoch: 196, Train Acc: 0.7198, Test Acc: 0.7201
Epoch: 197, Train Acc: 0.7115, Test Acc: 0.7157
Epoch: 198, Train Acc: 0.7129, Test Acc: 0.7179
Epoch: 199, Train Acc: 0.7294, Test Acc: 0.7201
Epoch: 200, Train Acc: 0.7146, Test Acc: 0.7201
Epoch: 201, Train Acc: 0.7181, Test Acc: 0.7135
Epoch: 202, Train Acc: 0.7291, Test Acc: 0.7267
Epoch: 203, Train Acc: 0.7225, Test Acc: 0.7256
Epoch: 204, Train Acc: 0.7269, Test Acc: 0.7333
Epoch: 205, Train Acc: 0.7253, Test Acc: 0.7124
Epoch: 206, Train Acc: 0.7357, Test Acc: 0.7201
Epoch: 207, Train Acc: 0.7385, Test Acc: 0.7366
Epoch: 208, Train Acc: 0.7212, Test Acc: 0.7157
Epoch: 209, Train Acc: 0.7236, Test Acc: 0.7311
Epoch: 210, Train Acc: 0.7360, Test Acc: 0.7201
Epoch: 211, Train Acc: 0.7258, Test Acc: 0.7278
Epoch: 212, Train Acc: 0.7124, Test Acc: 0.7102
Epoch: 213, Train Acc: 0.7385, Test Acc: 0.7278
Epoch: 214, Train Acc: 0.7338, Test Acc: 0.7289
Epoch: 215, Train Acc: 0.7308, Test Acc: 0.7124
Epoch: 216, Train Acc: 0.7264, Test Acc: 0.7102
Epoch: 217, Train Acc: 0.7352, Test Acc: 0.7212
Epoch: 218, Train Acc: 0.7236, Test Acc: 0.7157
Epoch: 219, Train Acc: 0.7231, Test Acc: 0.7256
Epoch: 220, Train Acc: 0.7118, Test Acc: 0.6992
Epoch: 221, Train Acc: 0.7415, Test Acc: 0.7409
Epoch: 222, Train Acc: 0.7264, Test Acc: 0.7157
Epoch: 223, Train Acc: 0.7321, Test Acc: 0.7157
Epoch: 224, Train Acc: 0.6791, Test Acc: 0.6839
Epoch: 225, Train Acc: 0.7264, Test Acc: 0.7223
Epoch: 226, Train Acc: 0.7269, Test Acc: 0.7234
Epoch: 227, Train Acc: 0.7343, Test Acc: 0.7245
Epoch: 228, Train Acc: 0.7181, Test Acc: 0.7256
Epoch: 229, Train Acc: 0.7319, Test Acc: 0.7190
Epoch: 230, Train Acc: 0.7484, Test Acc: 0.7201
Epoch: 231, Train Acc: 0.7217, Test Acc: 0.7157
Epoch: 232, Train Acc: 0.7151, Test Acc: 0.7234
Epoch: 233, Train Acc: 0.7132, Test Acc: 0.7179
Epoch: 234, Train Acc: 0.7069, Test Acc: 0.7146
Epoch: 235, Train Acc: 0.7203, Test Acc: 0.7212
Epoch: 236, Train Acc: 0.7058, Test Acc: 0.7058
Epoch: 237, Train Acc: 0.7420, Test Acc: 0.7311
Epoch: 238, Train Acc: 0.7201, Test Acc: 0.7179
Epoch: 239, Train Acc: 0.7198, Test Acc: 0.7212
Epoch: 240, Train Acc: 0.7398, Test Acc: 0.7344
Epoch: 241, Train Acc: 0.7291, Test Acc: 0.7168
Epoch: 242, Train Acc: 0.7319, Test Acc: 0.7322
Epoch: 243, Train Acc: 0.7288, Test Acc: 0.7344
Epoch: 244, Train Acc: 0.7321, Test Acc: 0.7256
Epoch: 245, Train Acc: 0.7275, Test Acc: 0.7267
Epoch: 246, Train Acc: 0.7398, Test Acc: 0.7234
Epoch: 247, Train Acc: 0.7264, Test Acc: 0.7267
Epoch: 248, Train Acc: 0.7324, Test Acc: 0.7245
Epoch: 249, Train Acc: 0.7264, Test Acc: 0.7168
Epoch: 250, Train Acc: 0.7242, Test Acc: 0.7124
Epoch: 251, Train Acc: 0.7371, Test Acc: 0.7289
Epoch: 252, Train Acc: 0.7239, Test Acc: 0.7278
Epoch: 253, Train Acc: 0.7379, Test Acc: 0.7344
Epoch: 254, Train Acc: 0.7368, Test Acc: 0.7387
Epoch: 255, Train Acc: 0.7404, Test Acc: 0.7278
Epoch: 256, Train Acc: 0.7352, Test Acc: 0.7212
Epoch: 257, Train Acc: 0.7165, Test Acc: 0.7135
